"ResourceType","Namespace","Type"
"Microsoft.Web/certificates","Microsoft.Web","certificates"
"Microsoft.Web/serverFarms","Microsoft.Web","serverFarms"
"Microsoft.Web/sites","Microsoft.Web","sites"
"Microsoft.Web/sites/slots","Microsoft.Web","sites/slots"
"Microsoft.Web/runtimes","Microsoft.Web","runtimes"
"Microsoft.Web/recommendations","Microsoft.Web","recommendations"
"Microsoft.Web/resourceHealthMetadata","Microsoft.Web","resourceHealthMetadata"
"Microsoft.Web/aseregions","Microsoft.Web","aseregions"
"Microsoft.Web/georegions","Microsoft.Web","georegions"
"Microsoft.Web/sites/premieraddons","Microsoft.Web","sites/premieraddons"
"Microsoft.Web/hostingEnvironments","Microsoft.Web","hostingEnvironments"
"Microsoft.Web/hostingEnvironments/multiRolePools","Microsoft.Web","hostingEnvironments/multiRolePools"
"Microsoft.Web/hostingEnvironments/workerPools","Microsoft.Web","hostingEnvironments/workerPools"
"Microsoft.Web/kubeEnvironments","Microsoft.Web","kubeEnvironments"
"Microsoft.Web/deploymentLocations","Microsoft.Web","deploymentLocations"
"Microsoft.Web/deletedSites","Microsoft.Web","deletedSites"
"Microsoft.Web/locations/deletedSites","Microsoft.Web","locations/deletedSites"
"Microsoft.Web/ishostingenvironmentnameavailable","Microsoft.Web","ishostingenvironmentnameavailable"
"Microsoft.Web/locations/deleteVirtualNetworkOrSubnets","Microsoft.Web","locations/deleteVirtualNetworkOrSubnets"
"Microsoft.Web/locations/validateDeleteVirtualNetworkOrSubnets","Microsoft.Web","locations/validateDeleteVirtualNetworkOrSubnets"
"Microsoft.Web/connections","Microsoft.Web","connections"
"Microsoft.Web/customApis","Microsoft.Web","customApis"
"Microsoft.Web/locations","Microsoft.Web","locations"
"Microsoft.Web/locations/listWsdlInterfaces","Microsoft.Web","locations/listWsdlInterfaces"
"Microsoft.Web/locations/extractApiDefinitionFromWsdl","Microsoft.Web","locations/extractApiDefinitionFromWsdl"
"Microsoft.Web/locations/managedApis","Microsoft.Web","locations/managedApis"
"Microsoft.Web/locations/runtimes","Microsoft.Web","locations/runtimes"
"Microsoft.Web/locations/apiOperations","Microsoft.Web","locations/apiOperations"
"Microsoft.Web/connectionGateways","Microsoft.Web","connectionGateways"
"Microsoft.Web/locations/connectionGatewayInstallations","Microsoft.Web","locations/connectionGatewayInstallations"
"Microsoft.Web/checkNameAvailability","Microsoft.Web","checkNameAvailability"
"Microsoft.Web/billingMeters","Microsoft.Web","billingMeters"
"Microsoft.Web/verifyHostingEnvironmentVnet","Microsoft.Web","verifyHostingEnvironmentVnet"
"Microsoft.Web/serverFarms/eventGridFilters","Microsoft.Web","serverFarms/eventGridFilters"
"Microsoft.Web/sites/eventGridFilters","Microsoft.Web","sites/eventGridFilters"
"Microsoft.Web/sites/slots/eventGridFilters","Microsoft.Web","sites/slots/eventGridFilters"
"Microsoft.Web/hostingEnvironments/eventGridFilters","Microsoft.Web","hostingEnvironments/eventGridFilters"
"Microsoft.Web/serverFarms/firstPartyApps","Microsoft.Web","serverFarms/firstPartyApps"
"Microsoft.Web/serverFarms/firstPartyApps/keyVaultSettings","Microsoft.Web","serverFarms/firstPartyApps/keyVaultSettings"
"Microsoft.Web/containerApps","Microsoft.Web","containerApps"
"Microsoft.Web/customhostnameSites","Microsoft.Web","customhostnameSites"
"Microsoft.Web/locations/usages","Microsoft.Web","locations/usages"
"Microsoft.Search/searchServices","Microsoft.Search","searchServices"
"Microsoft.Search/checkServiceNameAvailability","Microsoft.Search","checkServiceNameAvailability"
"Microsoft.Search/checkNameAvailability","Microsoft.Search","checkNameAvailability"
"Microsoft.Search/resourceHealthMetadata","Microsoft.Search","resourceHealthMetadata"
"Microsoft.Search/operations","Microsoft.Search","operations"
"Microsoft.Search/locations","Microsoft.Search","locations"
"Microsoft.Search/locations/notifyNetworkSecurityPerimeterUpdatesAvailable","Microsoft.Search","locations/notifyNetworkSecurityPerimeterUpdatesAvailable"
"Microsoft.Search/locations/usages","Microsoft.Search","locations/usages"
"Microsoft.Search/locations/operationResults","Microsoft.Search","locations/operationResults"
"Microsoft.SecurityInsights/operations","Microsoft.SecurityInsights","operations"
"Microsoft.SecurityInsights/alertRules","Microsoft.SecurityInsights","alertRules"
"Microsoft.SecurityInsights/alertRuleTemplates","Microsoft.SecurityInsights","alertRuleTemplates"
"Microsoft.SecurityInsights/triggeredAnalyticsRuleRuns","Microsoft.SecurityInsights","triggeredAnalyticsRuleRuns"
"Microsoft.SecurityInsights/cases","Microsoft.SecurityInsights","cases"
"Microsoft.SecurityInsights/bookmarks","Microsoft.SecurityInsights","bookmarks"
"Microsoft.SecurityInsights/dataConnectors","Microsoft.SecurityInsights","dataConnectors"
"Microsoft.SecurityInsights/dataConnectorDefinitions","Microsoft.SecurityInsights","dataConnectorDefinitions"
"Microsoft.SecurityInsights/dataConnectorsCheckRequirements","Microsoft.SecurityInsights","dataConnectorsCheckRequirements"
"Microsoft.SecurityInsights/enrichment","Microsoft.SecurityInsights","enrichment"
"Microsoft.SecurityInsights/fileImports","Microsoft.SecurityInsights","fileImports"
"Microsoft.SecurityInsights/entities","Microsoft.SecurityInsights","entities"
"Microsoft.SecurityInsights/incidents","Microsoft.SecurityInsights","incidents"
"Microsoft.SecurityInsights/officeConsents","Microsoft.SecurityInsights","officeConsents"
"Microsoft.SecurityInsights/settings","Microsoft.SecurityInsights","settings"
"Microsoft.SecurityInsights/aggregations","Microsoft.SecurityInsights","aggregations"
"Microsoft.SecurityInsights/entityQueries","Microsoft.SecurityInsights","entityQueries"
"Microsoft.SecurityInsights/entityQueryTemplates","Microsoft.SecurityInsights","entityQueryTemplates"
"Microsoft.SecurityInsights/threatIntelligence","Microsoft.SecurityInsights","threatIntelligence"
"Microsoft.SecurityInsights/automationRules","Microsoft.SecurityInsights","automationRules"
"Microsoft.SecurityInsights/sourceControls","Microsoft.SecurityInsights","sourceControls"
"Microsoft.SecurityInsights/exportConnections","Microsoft.SecurityInsights","exportConnections"
"Microsoft.SecurityInsights/listrepositories","Microsoft.SecurityInsights","listrepositories"
"Microsoft.SecurityInsights/watchlists","Microsoft.SecurityInsights","watchlists"
"Microsoft.SecurityInsights/confidentialWatchlists","Microsoft.SecurityInsights","confidentialWatchlists"
"Microsoft.SecurityInsights/huntsessions","Microsoft.SecurityInsights","huntsessions"
"Microsoft.SecurityInsights/hunts","Microsoft.SecurityInsights","hunts"
"Microsoft.SecurityInsights/onboardingStates","Microsoft.SecurityInsights","onboardingStates"
"Microsoft.SecurityInsights/metadata","Microsoft.SecurityInsights","metadata"
"Microsoft.SecurityInsights/contentPackages","Microsoft.SecurityInsights","contentPackages"
"Microsoft.SecurityInsights/contentTemplates","Microsoft.SecurityInsights","contentTemplates"
"Microsoft.SecurityInsights/contentProductPackages","Microsoft.SecurityInsights","contentProductPackages"
"Microsoft.SecurityInsights/contentProductTemplates","Microsoft.SecurityInsights","contentProductTemplates"
"Microsoft.SecurityInsights/MitreCoverageRecords","Microsoft.SecurityInsights","MitreCoverageRecords"
"Microsoft.SecurityInsights/overview","Microsoft.SecurityInsights","overview"
"Microsoft.SecurityInsights/recommendations","Microsoft.SecurityInsights","recommendations"
"Microsoft.SecurityInsights/billingStatistics","Microsoft.SecurityInsights","billingStatistics"
"Microsoft.SecurityInsights/workspaceManagerConfigurations","Microsoft.SecurityInsights","workspaceManagerConfigurations"
"Microsoft.SecurityInsights/workspaceManagerMembers","Microsoft.SecurityInsights","workspaceManagerMembers"
"Microsoft.SecurityInsights/workspaceManagerGroups","Microsoft.SecurityInsights","workspaceManagerGroups"
"Microsoft.SecurityInsights/workspaceManagerAssignments","Microsoft.SecurityInsights","workspaceManagerAssignments"
"Microsoft.SecurityInsights/securityMLAnalyticsSettings","Microsoft.SecurityInsights","securityMLAnalyticsSettings"
"Microsoft.SecurityInsights/contenttranslators","Microsoft.SecurityInsights","contenttranslators"
"Microsoft.KeyVault/vaults","Microsoft.KeyVault","vaults"
"Microsoft.KeyVault/vaults/secrets","Microsoft.KeyVault","vaults/secrets"
"Microsoft.KeyVault/vaults/accessPolicies","Microsoft.KeyVault","vaults/accessPolicies"
"Microsoft.KeyVault/operations","Microsoft.KeyVault","operations"
"Microsoft.KeyVault/checkNameAvailability","Microsoft.KeyVault","checkNameAvailability"
"Microsoft.KeyVault/deletedVaults","Microsoft.KeyVault","deletedVaults"
"Microsoft.KeyVault/locations","Microsoft.KeyVault","locations"
"Microsoft.KeyVault/locations/notifyNetworkSecurityPerimeterUpdatesAvailable","Microsoft.KeyVault","locations/notifyNetworkSecurityPerimeterUpdatesAvailable"
"Microsoft.KeyVault/locations/deletedVaults","Microsoft.KeyVault","locations/deletedVaults"
"Microsoft.KeyVault/locations/deleteVirtualNetworkOrSubnets","Microsoft.KeyVault","locations/deleteVirtualNetworkOrSubnets"
"Microsoft.KeyVault/locations/operationResults","Microsoft.KeyVault","locations/operationResults"
"Microsoft.KeyVault/vaults/eventGridFilters","Microsoft.KeyVault","vaults/eventGridFilters"
"Microsoft.KeyVault/managedHSMs","Microsoft.KeyVault","managedHSMs"
"Microsoft.KeyVault/deletedManagedHSMs","Microsoft.KeyVault","deletedManagedHSMs"
"Microsoft.KeyVault/locations/deletedManagedHSMs","Microsoft.KeyVault","locations/deletedManagedHSMs"
"Microsoft.KeyVault/locations/managedHsmOperationResults","Microsoft.KeyVault","locations/managedHsmOperationResults"
"Microsoft.KeyVault/managedHSMs/keys","Microsoft.KeyVault","managedHSMs/keys"
"Microsoft.KeyVault/managedHSMs/keys/versions","Microsoft.KeyVault","managedHSMs/keys/versions"
"Microsoft.KeyVault/checkMhsmNameAvailability","Microsoft.KeyVault","checkMhsmNameAvailability"
"Microsoft.KeyVault/vaults/keys","Microsoft.KeyVault","vaults/keys"
"Microsoft.KeyVault/vaults/keys/versions","Microsoft.KeyVault","vaults/keys/versions"
"Microsoft.DomainRegistration/domains","Microsoft.DomainRegistration","domains"
"Microsoft.DomainRegistration/domains/domainOwnershipIdentifiers","Microsoft.DomainRegistration","domains/domainOwnershipIdentifiers"
"Microsoft.DomainRegistration/topLevelDomains","Microsoft.DomainRegistration","topLevelDomains"
"Microsoft.DomainRegistration/checkDomainAvailability","Microsoft.DomainRegistration","checkDomainAvailability"
"Microsoft.DomainRegistration/listDomainRecommendations","Microsoft.DomainRegistration","listDomainRecommendations"
"Microsoft.DomainRegistration/validateDomainRegistrationInformation","Microsoft.DomainRegistration","validateDomainRegistrationInformation"
"Microsoft.DomainRegistration/generateSsoRequest","Microsoft.DomainRegistration","generateSsoRequest"
"Microsoft.DomainRegistration/operations","Microsoft.DomainRegistration","operations"
"Microsoft.Blueprint/blueprints","Microsoft.Blueprint","blueprints"
"Microsoft.Blueprint/blueprints/artifacts","Microsoft.Blueprint","blueprints/artifacts"
"Microsoft.Blueprint/blueprints/versions","Microsoft.Blueprint","blueprints/versions"
"Microsoft.Blueprint/blueprints/versions/artifacts","Microsoft.Blueprint","blueprints/versions/artifacts"
"Microsoft.Blueprint/blueprintAssignments","Microsoft.Blueprint","blueprintAssignments"
"Microsoft.Blueprint/blueprintAssignments/operations","Microsoft.Blueprint","blueprintAssignments/operations"
"Microsoft.Blueprint/blueprintAssignments/assignmentOperations","Microsoft.Blueprint","blueprintAssignments/assignmentOperations"
"Microsoft.Blueprint/operations","Microsoft.Blueprint","operations"
"Microsoft.SqlVirtualMachine/SqlVirtualMachineGroups","Microsoft.SqlVirtualMachine","SqlVirtualMachineGroups"
"Microsoft.SqlVirtualMachine/SqlVirtualMachines","Microsoft.SqlVirtualMachine","SqlVirtualMachines"
"Microsoft.SqlVirtualMachine/SqlVirtualMachineGroups/AvailabilityGroupListeners","Microsoft.SqlVirtualMachine","SqlVirtualMachineGroups/AvailabilityGroupListeners"
"Microsoft.SqlVirtualMachine/operations","Microsoft.SqlVirtualMachine","operations"
"Microsoft.SqlVirtualMachine/Locations","Microsoft.SqlVirtualMachine","Locations"
"Microsoft.SqlVirtualMachine/Locations/OperationTypes","Microsoft.SqlVirtualMachine","Locations/OperationTypes"
"Microsoft.SqlVirtualMachine/Locations/sqlVirtualMachineOperationResults","Microsoft.SqlVirtualMachine","Locations/sqlVirtualMachineOperationResults"
"Microsoft.SqlVirtualMachine/Locations/sqlVirtualMachineGroupOperationResults","Microsoft.SqlVirtualMachine","Locations/sqlVirtualMachineGroupOperationResults"
"Microsoft.SqlVirtualMachine/Locations/availabilityGroupListenerOperationResults","Microsoft.SqlVirtualMachine","Locations/availabilityGroupListenerOperationResults"
"Microsoft.SqlVirtualMachine/Locations/registerSqlVmCandidate","Microsoft.SqlVirtualMachine","Locations/registerSqlVmCandidate"
"Microsoft.DocumentDB/databaseAccounts","Microsoft.DocumentDB","databaseAccounts"
"Microsoft.DocumentDB/databaseAccountNames","Microsoft.DocumentDB","databaseAccountNames"
"Microsoft.DocumentDB/operations","Microsoft.DocumentDB","operations"
"Microsoft.DocumentDB/operationResults","Microsoft.DocumentDB","operationResults"
"Microsoft.DocumentDB/operationsStatus","Microsoft.DocumentDB","operationsStatus"
"Microsoft.DocumentDB/locations/operationsStatus","Microsoft.DocumentDB","locations/operationsStatus"
"Microsoft.DocumentDB/locations/operationResults","Microsoft.DocumentDB","locations/operationResults"
"Microsoft.DocumentDB/locations","Microsoft.DocumentDB","locations"
"Microsoft.DocumentDB/locations/deleteVirtualNetworkOrSubnets","Microsoft.DocumentDB","locations/deleteVirtualNetworkOrSubnets"
"Microsoft.DocumentDB/locations/restorableDatabaseAccounts","Microsoft.DocumentDB","locations/restorableDatabaseAccounts"
"Microsoft.DocumentDB/restorableDatabaseAccounts","Microsoft.DocumentDB","restorableDatabaseAccounts"
"Microsoft.DocumentDB/cassandraClusters","Microsoft.DocumentDB","cassandraClusters"
"Microsoft.DocumentDB/databaseAccounts/encryptionScopes","Microsoft.DocumentDB","databaseAccounts/encryptionScopes"
"Microsoft.DocumentDB/mongoClusters","Microsoft.DocumentDB","mongoClusters"
"Microsoft.DocumentDB/locations/mongoClusterOperationResults","Microsoft.DocumentDB","locations/mongoClusterOperationResults"
"Microsoft.DocumentDB/locations/mongoClusterAzureAsyncOperation","Microsoft.DocumentDB","locations/mongoClusterAzureAsyncOperation"
"Microsoft.DocumentDB/locations/checkMongoClusterNameAvailability","Microsoft.DocumentDB","locations/checkMongoClusterNameAvailability"
"Microsoft.DocumentDB/locations/notifyNetworkSecurityPerimeterUpdatesAvailable","Microsoft.DocumentDB","locations/notifyNetworkSecurityPerimeterUpdatesAvailable"
"Microsoft.DocumentDB/throughputPools","Microsoft.DocumentDB","throughputPools"
"Microsoft.DocumentDB/throughputPools/throughputPoolAccounts","Microsoft.DocumentDB","throughputPools/throughputPoolAccounts"
"Microsoft.EventGrid/locations","Microsoft.EventGrid","locations"
"Microsoft.EventGrid/locations/eventSubscriptions","Microsoft.EventGrid","locations/eventSubscriptions"
"Microsoft.EventGrid/locations/notifyNetworkSecurityPerimeterUpdatesAvailable","Microsoft.EventGrid","locations/notifyNetworkSecurityPerimeterUpdatesAvailable"
"Microsoft.EventGrid/eventSubscriptions","Microsoft.EventGrid","eventSubscriptions"
"Microsoft.EventGrid/topics","Microsoft.EventGrid","topics"
"Microsoft.EventGrid/domains","Microsoft.EventGrid","domains"
"Microsoft.EventGrid/domains/topics","Microsoft.EventGrid","domains/topics"
"Microsoft.EventGrid/topicTypes","Microsoft.EventGrid","topicTypes"
"Microsoft.EventGrid/operations","Microsoft.EventGrid","operations"
"Microsoft.EventGrid/locations/operationsStatus","Microsoft.EventGrid","locations/operationsStatus"
"Microsoft.EventGrid/locations/operationResults","Microsoft.EventGrid","locations/operationResults"
"Microsoft.EventGrid/locations/topicTypes","Microsoft.EventGrid","locations/topicTypes"
"Microsoft.EventGrid/extensionTopics","Microsoft.EventGrid","extensionTopics"
"Microsoft.EventGrid/operationResults","Microsoft.EventGrid","operationResults"
"Microsoft.EventGrid/operationsStatus","Microsoft.EventGrid","operationsStatus"
"Microsoft.EventGrid/systemTopics","Microsoft.EventGrid","systemTopics"
"Microsoft.EventGrid/systemTopics/eventSubscriptions","Microsoft.EventGrid","systemTopics/eventSubscriptions"
"Microsoft.EventGrid/partnerRegistrations","Microsoft.EventGrid","partnerRegistrations"
"Microsoft.EventGrid/partnerConfigurations","Microsoft.EventGrid","partnerConfigurations"
"Microsoft.EventGrid/verifiedPartners","Microsoft.EventGrid","verifiedPartners"
"Microsoft.EventGrid/namespaces","Microsoft.EventGrid","namespaces"
"Microsoft.EventGrid/partnerNamespaces","Microsoft.EventGrid","partnerNamespaces"
"Microsoft.EventGrid/partnerTopics","Microsoft.EventGrid","partnerTopics"
"Microsoft.EventGrid/partnerTopics/eventSubscriptions","Microsoft.EventGrid","partnerTopics/eventSubscriptions"
"Microsoft.EventGrid/partnerNamespaces/eventChannels","Microsoft.EventGrid","partnerNamespaces/eventChannels"
"Microsoft.EventGrid/partnerNamespaces/channels","Microsoft.EventGrid","partnerNamespaces/channels"
"Microsoft.EventGrid/partnerDestinations","Microsoft.EventGrid","partnerDestinations"
"Microsoft.MachineLearningServices/workspaces/batchEndpoints","Microsoft.MachineLearningServices","workspaces/batchEndpoints"
"Microsoft.MachineLearningServices/workspaces/batchEndpoints/deployments","Microsoft.MachineLearningServices","workspaces/batchEndpoints/deployments"
"Microsoft.MachineLearningServices/workspaces","Microsoft.MachineLearningServices","workspaces"
"Microsoft.MachineLearningServices/registries","Microsoft.MachineLearningServices","registries"
"Microsoft.MachineLearningServices/locations/registryOperationsStatus","Microsoft.MachineLearningServices","locations/registryOperationsStatus"
"Microsoft.MachineLearningServices/workspaces/onlineEndpoints","Microsoft.MachineLearningServices","workspaces/onlineEndpoints"
"Microsoft.MachineLearningServices/workspaces/onlineEndpoints/deployments","Microsoft.MachineLearningServices","workspaces/onlineEndpoints/deployments"
"Microsoft.MachineLearningServices/workspaces/onlineEndpoints/deployments/skus","Microsoft.MachineLearningServices","workspaces/onlineEndpoints/deployments/skus"
"Microsoft.MachineLearningServices/workspaces/computes","Microsoft.MachineLearningServices","workspaces/computes"
"Microsoft.MachineLearningServices/workspaces/jobs","Microsoft.MachineLearningServices","workspaces/jobs"
"Microsoft.MachineLearningServices/workspaces/codes","Microsoft.MachineLearningServices","workspaces/codes"
"Microsoft.MachineLearningServices/workspaces/codes/versions","Microsoft.MachineLearningServices","workspaces/codes/versions"
"Microsoft.MachineLearningServices/workspaces/components","Microsoft.MachineLearningServices","workspaces/components"
"Microsoft.MachineLearningServices/workspaces/components/versions","Microsoft.MachineLearningServices","workspaces/components/versions"
"Microsoft.MachineLearningServices/workspaces/environments","Microsoft.MachineLearningServices","workspaces/environments"
"Microsoft.MachineLearningServices/workspaces/environments/versions","Microsoft.MachineLearningServices","workspaces/environments/versions"
"Microsoft.MachineLearningServices/workspaces/data","Microsoft.MachineLearningServices","workspaces/data"
"Microsoft.MachineLearningServices/workspaces/data/versions","Microsoft.MachineLearningServices","workspaces/data/versions"
"Microsoft.MachineLearningServices/workspaces/datasets","Microsoft.MachineLearningServices","workspaces/datasets"
"Microsoft.MachineLearningServices/workspaces/services","Microsoft.MachineLearningServices","workspaces/services"
"Microsoft.MachineLearningServices/workspaces/datastores","Microsoft.MachineLearningServices","workspaces/datastores"
"Microsoft.MachineLearningServices/workspaces/eventGridFilters","Microsoft.MachineLearningServices","workspaces/eventGridFilters"
"Microsoft.MachineLearningServices/workspaces/models","Microsoft.MachineLearningServices","workspaces/models"
"Microsoft.MachineLearningServices/workspaces/models/versions","Microsoft.MachineLearningServices","workspaces/models/versions"
"Microsoft.MachineLearningServices/operations","Microsoft.MachineLearningServices","operations"
"Microsoft.MachineLearningServices/locations","Microsoft.MachineLearningServices","locations"
"Microsoft.MachineLearningServices/locations/computeOperationsStatus","Microsoft.MachineLearningServices","locations/computeOperationsStatus"
"Microsoft.MachineLearningServices/locations/mfeOperationResults","Microsoft.MachineLearningServices","locations/mfeOperationResults"
"Microsoft.MachineLearningServices/locations/mfeOperationsStatus","Microsoft.MachineLearningServices","locations/mfeOperationsStatus"
"Microsoft.MachineLearningServices/locations/workspaceOperationsStatus","Microsoft.MachineLearningServices","locations/workspaceOperationsStatus"
"Microsoft.MachineLearningServices/locations/usages","Microsoft.MachineLearningServices","locations/usages"
"Microsoft.MachineLearningServices/locations/vmsizes","Microsoft.MachineLearningServices","locations/vmsizes"
"Microsoft.MachineLearningServices/locations/quotas","Microsoft.MachineLearningServices","locations/quotas"
"Microsoft.MachineLearningServices/locations/updatequotas","Microsoft.MachineLearningServices","locations/updatequotas"
"Microsoft.MachineLearningServices/workspaces/linkedServices","Microsoft.MachineLearningServices","workspaces/linkedServices"
"Microsoft.MachineLearningServices/workspaces/labelingJobs","Microsoft.MachineLearningServices","workspaces/labelingJobs"
"Microsoft.MachineLearningServices/workspaces/schedules","Microsoft.MachineLearningServices","workspaces/schedules"
"Microsoft.MachineLearningServices/workspaces/featuresets","Microsoft.MachineLearningServices","workspaces/featuresets"
"Microsoft.MachineLearningServices/workspaces/serverlessEndpoints","Microsoft.MachineLearningServices","workspaces/serverlessEndpoints"
"Microsoft.MachineLearningServices/workspaces/marketplaceSubscriptions","Microsoft.MachineLearningServices","workspaces/marketplaceSubscriptions"
"Microsoft.MachineLearningServices/workspaces/inferencePools","Microsoft.MachineLearningServices","workspaces/inferencePools"
"Microsoft.MachineLearningServices/workspaces/inferencePools/groups","Microsoft.MachineLearningServices","workspaces/inferencePools/groups"
"Microsoft.MachineLearningServices/workspaces/inferencePools/endpoints","Microsoft.MachineLearningServices","workspaces/inferencePools/endpoints"
"Microsoft.MachineLearningServices/workspaces/featuresets/versions","Microsoft.MachineLearningServices","workspaces/featuresets/versions"
"Microsoft.MachineLearningServices/workspaces/featurestoreEntities","Microsoft.MachineLearningServices","workspaces/featurestoreEntities"
"Microsoft.MachineLearningServices/workspaces/featurestoreEntities/versions","Microsoft.MachineLearningServices","workspaces/featurestoreEntities/versions"
"Microsoft.MachineLearningServices/workspaces/endpoints","Microsoft.MachineLearningServices","workspaces/endpoints"
"Microsoft.MachineLearningServices/registries/codes","Microsoft.MachineLearningServices","registries/codes"
"Microsoft.MachineLearningServices/registries/codes/versions","Microsoft.MachineLearningServices","registries/codes/versions"
"Microsoft.MachineLearningServices/registries/components","Microsoft.MachineLearningServices","registries/components"
"Microsoft.MachineLearningServices/registries/components/versions","Microsoft.MachineLearningServices","registries/components/versions"
"Microsoft.MachineLearningServices/registries/data","Microsoft.MachineLearningServices","registries/data"
"Microsoft.MachineLearningServices/registries/data/versions","Microsoft.MachineLearningServices","registries/data/versions"
"Microsoft.MachineLearningServices/registries/datareferences","Microsoft.MachineLearningServices","registries/datareferences"
"Microsoft.MachineLearningServices/registries/datareferences/versions","Microsoft.MachineLearningServices","registries/datareferences/versions"
"Microsoft.MachineLearningServices/registries/environments","Microsoft.MachineLearningServices","registries/environments"
"Microsoft.MachineLearningServices/registries/environments/versions","Microsoft.MachineLearningServices","registries/environments/versions"
"Microsoft.MachineLearningServices/registries/models","Microsoft.MachineLearningServices","registries/models"
"Microsoft.MachineLearningServices/registries/models/versions","Microsoft.MachineLearningServices","registries/models/versions"
"Microsoft.MachineLearningServices/capacityReservationGroups","Microsoft.MachineLearningServices","capacityReservationGroups"
"Microsoft.ApiManagement/service","Microsoft.ApiManagement","service"
"Microsoft.ApiManagement/deletedServices","Microsoft.ApiManagement","deletedServices"
"Microsoft.ApiManagement/locations","Microsoft.ApiManagement","locations"
"Microsoft.ApiManagement/locations/deletedServices","Microsoft.ApiManagement","locations/deletedServices"
"Microsoft.ApiManagement/validateServiceName","Microsoft.ApiManagement","validateServiceName"
"Microsoft.ApiManagement/checkServiceNameAvailability","Microsoft.ApiManagement","checkServiceNameAvailability"
"Microsoft.ApiManagement/checkNameAvailability","Microsoft.ApiManagement","checkNameAvailability"
"Microsoft.ApiManagement/reportFeedback","Microsoft.ApiManagement","reportFeedback"
"Microsoft.ApiManagement/checkFeedbackRequired","Microsoft.ApiManagement","checkFeedbackRequired"
"Microsoft.ApiManagement/operations","Microsoft.ApiManagement","operations"
"Microsoft.ApiManagement/getDomainOwnershipIdentifier","Microsoft.ApiManagement","getDomainOwnershipIdentifier"
"Microsoft.ApiManagement/service/eventGridFilters","Microsoft.ApiManagement","service/eventGridFilters"
"Microsoft.Migrate/migrateprojects","Microsoft.Migrate","migrateprojects"
"Microsoft.Migrate/assessmentProjects","Microsoft.Migrate","assessmentProjects"
"Microsoft.Migrate/moveCollections","Microsoft.Migrate","moveCollections"
"Microsoft.Migrate/operations","Microsoft.Migrate","operations"
"Microsoft.Migrate/locations","Microsoft.Migrate","locations"
"Microsoft.Migrate/locations/rmsOperationResults","Microsoft.Migrate","locations/rmsOperationResults"
"Microsoft.Migrate/modernizeProjects","Microsoft.Migrate","modernizeProjects"
"Microsoft.CertificateRegistration/certificateOrders","Microsoft.CertificateRegistration","certificateOrders"
"Microsoft.CertificateRegistration/certificateOrders/certificates","Microsoft.CertificateRegistration","certificateOrders/certificates"
"Microsoft.CertificateRegistration/validateCertificateRegistrationInformation","Microsoft.CertificateRegistration","validateCertificateRegistrationInformation"
"Microsoft.CertificateRegistration/operations","Microsoft.CertificateRegistration","operations"
"Microsoft.Portal/dashboards","Microsoft.Portal","dashboards"
"Microsoft.Portal/tenantconfigurations","Microsoft.Portal","tenantconfigurations"
"Microsoft.Portal/listTenantConfigurationViolations","Microsoft.Portal","listTenantConfigurationViolations"
"Microsoft.Portal/operations","Microsoft.Portal","operations"
"Microsoft.Portal/locations","Microsoft.Portal","locations"
"Microsoft.Portal/consoles","Microsoft.Portal","consoles"
"Microsoft.Portal/locations/consoles","Microsoft.Portal","locations/consoles"
"Microsoft.Portal/userSettings","Microsoft.Portal","userSettings"
"Microsoft.Portal/locations/userSettings","Microsoft.Portal","locations/userSettings"
"Microsoft.Cache/Redis","Microsoft.Cache","Redis"
"Microsoft.Cache/Redis/privateEndpointConnectionProxies","Microsoft.Cache","Redis/privateEndpointConnectionProxies"
"Microsoft.Cache/Redis/privateEndpointConnectionProxies/validate","Microsoft.Cache","Redis/privateEndpointConnectionProxies/validate"
"Microsoft.Cache/Redis/privateEndpointConnections","Microsoft.Cache","Redis/privateEndpointConnections"
"Microsoft.Cache/Redis/privateLinkResources","Microsoft.Cache","Redis/privateLinkResources"
"Microsoft.Cache/locations/asyncOperations","Microsoft.Cache","locations/asyncOperations"
"Microsoft.Cache/locations","Microsoft.Cache","locations"
"Microsoft.Cache/locations/operationResults","Microsoft.Cache","locations/operationResults"
"Microsoft.Cache/locations/operationsStatus","Microsoft.Cache","locations/operationsStatus"
"Microsoft.Cache/checkNameAvailability","Microsoft.Cache","checkNameAvailability"
"Microsoft.Cache/operations","Microsoft.Cache","operations"
"Microsoft.Cache/redisEnterprise","Microsoft.Cache","redisEnterprise"
"Microsoft.Cache/RedisEnterprise/privateEndpointConnectionProxies","Microsoft.Cache","RedisEnterprise/privateEndpointConnectionProxies"
"Microsoft.Cache/RedisEnterprise/privateEndpointConnectionProxies/validate","Microsoft.Cache","RedisEnterprise/privateEndpointConnectionProxies/validate"
"Microsoft.Cache/RedisEnterprise/privateEndpointConnectionProxies/operationresults","Microsoft.Cache","RedisEnterprise/privateEndpointConnectionProxies/operationresults"
"Microsoft.Cache/RedisEnterprise/privateEndpointConnections","Microsoft.Cache","RedisEnterprise/privateEndpointConnections"
"Microsoft.Cache/RedisEnterprise/privateEndpointConnections/operationresults","Microsoft.Cache","RedisEnterprise/privateEndpointConnections/operationresults"
"Microsoft.Cache/RedisEnterprise/privateLinkResources","Microsoft.Cache","RedisEnterprise/privateLinkResources"
"Microsoft.Cache/redisEnterprise/databases","Microsoft.Cache","redisEnterprise/databases"
